Time,"Country Name","GDP, PPP (constant 2011 international $)","Employment in industry (% of total employment)","Employment in agriculture (% of total employment)","Total greenhouse gas emissions (kt of CO2 equivalent)","Terrestrial and marine protected areas (% of total territorial area)","Renewable energy consumption (% of total final energy consumption)","Fossil fuel energy consumption (% of total)","Energy use (kg of oil equivalent per capita)","Educational attainment, competed at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Adult literacy rate, population 15+ years, both sexes (%)","CO2 emissions (metric tons per capita)","Population, total"
2010,"Afghanistan","46495656381.9102","","","17791.3299018728","","15.1715175144124","","","","","0.30293638839023","27962207"
2010,"Albania","27306191329.5243","","","8506.99603431525","","37.1862125480726","63.0060071058106","724.562919388497","","","1.57857358391855","2913021"
2010,"Algeria","464805052172.079","","","167674.633000695","","0.257181978405563","99.8478347914606","1112.4019349565","","","3.30716434012848","36036159"
2010,"American Samoa","","23.2000007629395","3","56.6374866017899","","","","","","","","55636"
2010,"Andorra","","","","","","","","","","","6.12477049005556","84419"
2010,"Angola","137763693380.123","","","40029.3921005695","","57.2750449010808","38.9565256409454","632.248118916752","","","1.36933887792594","21219954"
2010,"Antigua and Barbuda","1794152457.65239","","","521.051312844337","","","","","","","6.01126867125973","87233"
2010,"Argentina","774753787497.034","24.1000003814697","3","364684.253845885","","8.96067011080365","89.5109284056132","1909.7257044784","","","4.55861174166042","41222875"
2010,"Armenia","19286178299.7958","17.3999996185303","38.5999984741211","11393.0393525219","","9.36341748972634","67.4011084886","837.929593966045","","","1.42299837759187","2963496"
2010,"Aruba","","14.5","0.600000023841858","387.904772272898","","5.47276042886018","","","","96.822639465332","24.182702245145","101597"
2010,"Australia","911304031483.534","21.3999996185303","3.20000004768372","782102.692196849","","7.15970778869288","95.2064814499875","5648.6965856094","","","16.9209536691366","22031750"
2010,"Austria","359330232465.755","25.2000007629395","4.69999980926514","94172.3509433563","","31.3980513617781","70.1200991431839","4079.86496885718","","","8.11059300734486","8363404"
2010,"Azerbaijan","144418926509.107","13.6999998092651","38.2000007629395","50724.569637349","","4.44973391611003","96.9324916140822","1279.552594272","","99.7711410522461","3.38822587905988","9054332"
2010,"Bahamas, The","8260934776.35865","","","4570.35755329238","","1.58860776596666","","","15.22788","","6.82932128703268","360830"
2010,"Bahrain","50752452953.3743","35.2999992370605","1.10000002384186","30921.9708369881","","","99.8814621642045","9952.24364336064","9.47933","94.5567932128906","23.1011996172261","1261319"
2010,"Bangladesh","371659006686.465","17.7000007629395","47.5","177504.473602208","","41.0269065528319","71.2455501485281","200.647458691197","","","0.395682596524262","151616777"
2010,"Barbados","4290445557.93256","19.6000003814697","2.79999995231628","1449.42611368458","","8.81499567559815","","","","","5.28605409813783","279566"
