Time,"Country Name","Adult literacy rate, population 15+ years, both sexes (%)","Educational attainment, competed at least Bachelor's or equivalent, population 25+, total (%) (cumulative)","Energy use (kg of oil equivalent per capita)","Fossil fuel energy consumption (% of total)","Renewable energy consumption (% of total final energy consumption)","Terrestrial and marine protected areas (% of total territorial area)","Total greenhouse gas emissions (kt of CO2 equivalent)","GDP, PPP (constant 2011 international $)","Employment in agriculture (% of total employment)","Employment in industry (% of total employment)"
2014,"Afghanistan","","","","","","0.46","","58321801149.6039","",""
2014,"Albania","","","","","","1.91","","29289683715.0371","",""
2014,"Algeria","","","","","","7.46","","527712305760.833","",""
2014,"American Samoa","","","","","","8.62","","","",""
2014,"Andorra","","","","","","19.5","","","",""
2014,"Angola","70.9910888671875","","","","","4.98","","168525688985.459","",""
2014,"Antigua and Barbuda","98.9499969482422","","","","","0.15","","1914523766.58361","",""
2014,"Argentina","98.0340194702148","","","","","5.37","","811160595595.416","0.5","24"
2014,"Armenia","","","","","","24.75","","23143461510.7622","",""
2014,"Aruba","","","","","","0.48","","","",""
2014,"Australia","","24.94645","5484.74690213802","93.3219025482916","","29.03","","1015234732343.37","",""
2014,"Austria","","12.25237","3754.07896084738","64.6587494125741","","28.35","","374733559775.255","4.30000019073486","26.1000003814697"
2014,"Azerbaijan","99.7889862060547","15.68145","","","","13.97","","159379851638.987","36.7999992370605","14.3000001907349"
2014,"Bahamas, The","","","","","","0.51","","8584644967.5209","",""
2014,"Bahrain","","","","","","4.41","","59118980281.8417","",""
2014,"Bangladesh","60.5752182006836","","","","","3.41","","473918520089.175","",""
2014,"Barbados","","","","","","0","","4341243182.9354","",""
2014,"Belarus","","","","","","8.57","","164511606330.242","",""
2014,"Belgium","","31.259","4810.29368777887","72.7410495719673","","24.25","","457983905796.253","1.10000002384186","21.5"
2014,"Belize","","","","","","18.55","","2828949258.51899","",""
2014,"Benin","","","","","","22.25","","20527411065.0534","",""
2014,"Bermuda","","","","","","5.07","","","",""
2014,"Bhutan","","","","","","47.3","","5704141381.14037","",""
2014,"Bolivia","","","","","","24.83","","66803831147.3381","",""
