Country Name,Time,"2016 Jul - Female legislators, senior officials and managers (% of total)",2016 Jul - Firms with female top manager (% of firms),2016 Jul - Firms with female participation in ownership (% of firms),"2016 Jul - Labor force participation rate, female (% of female population ages 15+) (modeled ILO estimate)","2016 Jul - Labor force, female (% of total labor force)","2016 Jul - Labor force with tertiary education, female (% of female labor force)","2016 Jul - Labor force with secondary education, female (% of female labor force)","2016 Jul - Long-term unemployment, female (% of female unemployment)","2016 Jul - Part time employment, female (% of total female employment)","2016 Jul - Part time employment, female (% of total part time employment)",2016 Jul - Ratio of female to male labor force participation rate (%) (modeled ILO estimate),"2016 Jul - Vulnerable employment, female (% of female employment)","2016 Jul - Wage and salaried workers, female (% of females employed)",2016 Jul - Proportion of seats held by women in national parliaments (%)
Australia,1990,,,,52.29999924,41.36492228,,,17.10000038,,,69.08850904,,88.40000153,6.1
Australia,1991,,,,52,41.53935552,,,21,,,69.51871374,,87.5,
Australia,1992,,,,52,41.76427134,,,29.20000076,,,69.98653818,,87.30000305,
Australia,1993,,,,51.79999924,41.82850674,,,30.79999924,,,70.18969796,,87.09999847,
Australia,1994,,,,52.70000076,42.30326725,,,30.5,,,71.40921217,,87.59999847,
Australia,1995,,,,53.79999924,42.71923589,45.40000153,17.70000076,27.10000038,,,72.70270167,,88,
Australia,1996,,,,53.79999924,42.85307402,,,24.60000038,,,72.99864514,,88.19999695,
Australia,1997,31.51304633,,,53.70000076,42.96508535,29.79999924,26.5,27.39999962,,,73.36065984,,87.90000153,15.5
Australia,1998,31.36402376,,,53.79999924,43.09842901,29.89999962,28.20000076,28.39999962,,,73.79972306,,88.59999847,15.5
Australia,1999,31.30753159,,,53.90000153,43.30511512,,,26.20000076,,,74.34482969,,89,22.4
Australia,2000,32.92588066,,,54.70000076,43.66754568,31.70000076,37.5,23.60000038,,,75.55248565,,89.30000305,23
Australia,2001,32.13602498,,,55.09999847,43.89988122,33.5,27.60000038,20.89999962,38.90000153,72.69999695,76.52777566,,89.80000305,
Australia,2002,32.42965014,,,55.29999924,44.05156669,35.09999847,28.39999962,18.39999962,38.90000153,72.30000305,76.91237561,,89.59999847,25.3
Australia,2003,33.02969064,,,55.90000153,44.45435547,34.40000153,30.29999924,17.5,39.20000076,72.40000153,78.07262949,,90,25.3
Australia,2004,34.08010898,,,55.70000076,44.35353145,37.29999924,29.29999924,17.60000038,38.20000076,72,77.79329881,,90.19999695,24.7
Australia,2005,35.04590479,,,57,44.66263689,37.70000076,29.79999924,15.5,38.59999847,72.40000153,78.94737176,,90.19999695,24.7
Australia,2006,35.12024619,,,57.59999847,44.81490939,39.79999924,29.60000038,15.39999962,38.09999847,72,79.66804432,,90.69999695,24.7
Australia,2007,35.34231315,,,58.20000076,44.8886339,36.79999924,33.70000076,14.39999962,37.59999847,71.5,80.05502504,,91.09999847,26.7
Australia,2008,36.72108074,,,58.70000076,45.0202327,38.5,33.5,14,37.59999847,71.69999695,80.6318658,,91.09999847,26.7
Australia,2009,,,,58.79999924,45.12547212,,,14.30000019,38.09999847,70.80000305,81.21546685,,91.19999695,27.3
Australia,2010,,,,58.79999924,45.09683886,,,16.39999962,38.5,70.40000153,81.10344722,,91,24.7
Australia,2011,,,,59,45.24748403,,,18,38.29999924,70.80000305,81.49171099,,91.19999695,24.7
Australia,2012,,,,58.79999924,45.30507337,,,17.70000076,38.09999847,71.09999847,81.78024755,,91.5,24.7
Australia,2013,,,,58.79999924,45.38381602,,,18.10000038,38,70.30000305,81.89414587,,91.90000153,26
Australia,2014,,,,58.70000076,45.38881977,,,20.79999924,38.20000076,69.90000153,81.86890274,,,26
Australia,2015,,,,,,,,,,,,,,26.7
Belgium,1990,,,,36.59999847,39.03662468,,,68.40000153,28.79999924,79.80000305,59.90179933,16.5,83,8.5
Belgium,1991,,,,37.90000153,39.67513306,,,64.5,30.5,80.09999847,61.72638532,14.89999962,84.69999695,
Belgium,1992,,,,38.70000076,40.34165807,30,35.70000076,61,30.39999962,83.5,63.3387917,15.89999962,83.59999847,
Belgium,1993,30.0936294,,,39.40000153,40.98384432,31.89999962,34.59999847,58.90000153,30.20000076,82.40000153,65.12396946,15.19999981,84,
Belgium,1994,30.33674795,,,40,41.10791023,32.40000153,35.29999924,62.59999847,29.89999962,81.80000305,65.46645008,14.80000019,84.69999695,
Belgium,1995,31.50513745,,,40.40000153,41.35297038,32.29999924,36.5,63.20000076,29.79999924,82.09999847,66.12111708,15.69999981,83.59999847,
Belgium,1996,29.00233928,,,40.40000153,41.35279745,34.40000153,36.59999847,63.29999924,30.20000076,82.19999695,66.33826029,15.30000019,84.19999695,
Belgium,1997,30.16771196,,,40.90000153,41.86662631,35.90000153,36.59999847,61.5,30.5,82.5,67.49175339,14.60000038,84.90000153,12.7
Belgium,1998,30.87887723,,,41.5,42.23148016,35.59999847,36,63.5,31.20000076,82.40000153,68.59504132,14.19999981,85,12.7
Belgium,1999,31.63243682,,,43.09999847,42.92831582,35.59999847,36.09999847,60.90000153,33.40000153,79,70.42483323,13.69999981,84,23.3
Belgium,2000,32.07098458,,,43.59999847,43.09019588,36.5,36.5,54.29999924,33.29999924,79.5,71.00976774,11.5,86.19999695,23.3
Belgium,2001,32.88331534,,,41.70000076,42.33339512,37.79999924,36,47.20000076,30.70000076,82.09999847,69.154231,11,87,23.3
Belgium,2002,31.80299724,,,43,43.04311624,38.09999847,36.79999924,49.90000153,30.10000038,81.59999847,70.9570975,11.39999962,86.5,23.3
Belgium,2003,29.89632625,,,43.5,43.44144343,37,38.20000076,47.09999847,31,81.09999847,72.2591353,10.69999981,87.30000305,35.3
Belgium,2004,29.87530874,,,44.5,43.82801259,39.09999847,36.90000153,49.09999847,30.70000076,80.80000305,73.43234508,9.399999619,88.30000305,34.7
Belgium,2005,31.80997143,,,45.59999847,44.13648079,40.09999847,38,52.59999847,30.20000076,80,74.38825292,10,87.69999695,34.7
Belgium,2006,31.46934758,,,45.79999924,44.48830545,41,37.59999847,52.40000153,30.39999962,81.80000305,75.32894706,9.399999619,88.19999695,34.7
Belgium,2007,33.84399154,,,46.59999847,44.7507579,41.5,37.40000153,51.20000076,29.29999924,80.69999695,76.26841185,9.300000191,88.5,35.3
Belgium,2008,32.67763557,,,46.90000153,45.02997507,41.40000153,38.90000153,47.90000153,29.60000038,81.30000305,77.26524042,8.699999809,89.19999695,35.3
Belgium,2009,33.98566888,,,46.90000153,45.27169005,42.90000153,38.70000076,44.90000153,28.39999962,80.59999847,77.90697829,9,88.69999695,38
Belgium,2010,34.10193515,,,47.59999847,45.41986482,44.29999924,36.79999924,47.59999847,28.89999962,80.40000153,78.54785425,8.399999619,89.19999695,39.3
Belgium,2011,29.91664197,,,46.79999924,45.3870563,44.29999924,37.90000153,49.70000076,30,79.90000153,78.78787548,8.600000381,89.5,38
Belgium,2012,,,,46.90000153,45.45244751,45.70000076,37.20000076,42.90000153,29.89999962,79.80000305,78.9562295,8.399999619,89.5,38
Belgium,2013,,,,47.5,45.73660163,45.40000153,38,45.29999924,29.60000038,80.80000305,80.10118147,8.399999619,89.30000305,38
Belgium,2014,,,,47.59999847,45.78468092,47.5,36.40000153,47.29999924,28.5,79.09999847,80.26981296,8.5,89.09999847,39.3
Belgium,2015,,,,,,,,,,,,,,39.3
Brazil,1990,,,,44.59999847,35.23695425,,,,,,52.22482164,29.89999962,68,5.3
Brazil,1991,,,,48.79999924,37.25316441,,,,,,56.94282494,,,
Brazil,1992,,,,53.09999847,39.21166287,7.400000095,16.60000038,,,,61.74418427,38.29999924,60,
Brazil,1993,,,,53,39.27237931,7.400000095,17.29999924,,,,61.91588895,38,60.40000153,
Brazil,1994,,,,53.59999847,39.67816617,,,,,,62.91079858,,,
Brazil,1995,,,,54.20000076,40.0803099,8,18.5,,,,63.91509294,37.79999924,60.20000076,
Brazil,1996,,,,52.20000076,39.761277,8.399999619,20.60000038,,,,62.9674304,34.59999847,63.29999924,
Brazil,1997,,,,53.20000076,40.11494019,8.699999809,21,,,,63.94231095,,,6.6
Brazil,1998,,,,53.59999847,40.42492696,8.699999809,22.10000038,,,,64.73429529,,,6.6
