Country Name,"Time","Agricultural irrigated land (% of total agricultural land)","Annual freshwater withdrawals, total (% of internal resources)","Arable land (% of land area)","ARI treatment (% of children under 5 taken to a health provider)","CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","Diarrhea treatment (% of children under 5 who received ORS packet)","Disaster risk reduction progress score (1-5 scale; 5=best)","Improved sanitation facilities (% of population with access)","Improved water source (% of population with access)","Life expectancy at birth, total (years)","Plant species (higher), threatened","Mammal species, threatened","Fish species, threatened","Bird species, threatened","Mortality rate, neonatal (per 1,000 live births)","Risk of catastrophic expenditure for surgical care (% of people at risk)"
Afghanistan,"2005","5.84014771828014","NA","11.9550899120792","NA","NA","NA","NA","26.3","39.1","57.027243902439","NA","NA","NA","NA","41.7","NA"
Afghanistan,"2006","6.08546557636508","NA","11.938240970499","NA","2","NA","NA","26.9","40.8","57.4325609756098","NA","NA","NA","NA","41","NA"
Afghanistan,"2007","5.94038512265893","NA","11.938240970499","NA","2","NA","NA","27.4","42.6","57.8338292682927","NA","NA","NA","NA","40.4","NA"
Afghanistan,"2008","5.77947771036666","NA","11.938240970499","NA","2.5","NA","NA","28","44.4","58.2250243902439","NA","NA","NA","NA","39.8","NA"
Afghanistan,"2009","4.84304932735426","NA","11.9367092485372","NA","2.5","NA","NA","28.7","46.2","58.6036829268293","NA","NA","NA","NA","39.1","NA"
Afghanistan,"2010","5.00131891321551","NA","11.9367092485372","NA","2.5","NA","NA","29.3","48","58.9708292682927","NA","NA","NA","NA","38.7","NA"
Afghanistan,"2011","5.39171722500659","NA","11.9336458046135","60.5","2.5","53.3","NA","29.9","49.8","59.3279512195122","NA","NA","NA","NA","38.1","NA"
Afghanistan,"2012","5.46557636507518","NA","11.9321140826517","NA","2.5","NA","NA","30.5","51.6","59.6796097560976","NA","NA","NA","NA","37.4","NA"
Afghanistan,"2013","5.51833289369559","NA","11.9244554728426","NA","2.5","NA","NA","31.1","53.4","60.0282682926829","NA","NA","NA","NA","36.8","NA"
Afghanistan,"2014","NA","43.0116648992577","NA","NA","2.5","NA","NA","31.8","55.2","60.3744634146342","NA","NA","NA","NA","36.1","92.8"
Albania,"2005","NA","NA","19.6350364963504","45","3","51.8","NA","87.4","96","76.0816097560976","NA","NA","NA","NA","9.4","NA"
Albania,"2006","NA","NA","21.3138686131387","NA","3","NA","NA","88.1","96","76.2861219512195","NA","NA","NA","NA","8.9","NA"
Albania,"2007","17.426273458445","4.87360594795539","21.0948905109489","NA","NA","NA","NA","88.9","95.9","76.4702926829268","NA","NA","NA","NA","8.5","NA"
Albania,"2008","9.99153259949196","NA","22.2627737226277","NA","NA","NA","NA","89.6","95.8","76.6520731707317","NA","NA","NA","NA","8.2","NA"
Albania,"2009","16.8151169566303","NA","22.2262773722628","69.6","NA","54.3","NA","90.2","95.7","76.8403658536586","NA","NA","NA","NA","7.9","NA"
Albania,"2010","17.0232248397569","NA","22.8467153284672","NA","NA","NA","NA","90.9","95.6","77.0369512195122","NA","NA","NA","NA","7.5","NA"
Albania,"2011","17.0108243130724","NA","22.7007299270073","NA","NA","NA","NA","91.5","95.5","77.2405853658537","NA","NA","NA","NA","7.2","NA"
Albania,"2012","17.0398734704071","NA","22.5948905109489","NA","NA","NA","NA","92.1","95.4","77.4439756097561","NA","NA","NA","NA","7","NA"
Albania,"2013","17.2879642887223","NA","22.521897810219","NA","NA","NA","NA","92.7","95.2","77.6404634146342","NA","NA","NA","NA","6.8","NA"
Albania,"2014","NA","4.87360594795539","NA","NA","NA","NA","NA","93.2","95.1","77.8304634146342","NA","NA","NA","NA","6.5","26.5"
Algeria,"2005","2.00189269855136","NA","3.15357679679562","NA","NA","NA","NA","85.3","87.7","72.1965609756098","NA","NA","NA","NA","19.5","NA"
Algeria,"2006","2.0276341031058","NA","3.13636249128788","53","NA","18.5","NA","85.6","87.4","72.5577073170732","NA","NA","NA","NA","18.8","NA"
Algeria,"2007","2.19383302627751","NA","3.13594263017794","NA","NA","NA","NA","85.8","87","72.8983658536585","NA","NA","NA","NA","18.2","NA"
Algeria,"2008","2.0715098404706","NA","3.14433985237683","NA","NA","NA","NA","86.1","86.6","73.2193170731707","NA","NA","NA","NA","17.5","NA"
Algeria,"2009","2.13711938134364","NA","3.14601929681661","NA","NA","NA","NA","86.4","86.2","73.5210243902439","NA","NA","NA","NA","17","NA"
Algeria,"2010","2.38125392758737","NA","3.14979804680612","NA","NA","NA","NA","86.6","85.7","73.8040487804878","NA","NA","NA","NA","16.5","NA"
Algeria,"2011","2.38477336426017","NA","3.14979804680612","NA","NA","NA","3.5","86.8","85.3","74.07","NA","NA","NA","NA","16.2","NA"
Algeria,"2012","2.51921014892017","74.8888888888889","3.15189735235584","76.2","NA","33.5","NA","87","84.9","74.3240975609756","NA","NA","NA","NA","15.9","NA"
Algeria,"2013","2.62963281202482","NA","3.14736285236844","66.4","NA","25.3","NA","87.2","84.5","74.5689512195122","NA","NA","NA","NA","15.7","NA"
Algeria,"2014","NA","74.8888888888889","NA","NA","NA","NA","NA","87.4","84","74.8080975609756","NA","NA","NA","NA","15.6","17.2"
American Samoa,"2005","NA","NA","16.5","NA","NA","NA","NA","61.9","99.9","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2006","NA","NA","16.5","NA","NA","NA","NA","62","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2007","NA","NA","15","NA","NA","NA","NA","62.1","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2008","NA","NA","14.8","NA","NA","NA","NA","62.1","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2009","NA","NA","15","NA","NA","NA","NA","62.2","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2010","NA","NA","15","NA","NA","NA","NA","62.3","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2011","NA","NA","15","NA","NA","NA","NA","62.4","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2012","NA","NA","15","NA","NA","NA","NA","62.5","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2013","NA","NA","15","NA","NA","NA","NA","62.5","100","NA","NA","NA","NA","NA","NA","NA"
American Samoa,"2014","NA","NA","NA","NA","NA","NA","NA","62.5","100","NA","NA","NA","NA","NA","NA","NA"
Andorra,"2005","NA","NA","5.31914893617021","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.9","NA"
Andorra,"2006","NA","NA","5.1063829787234","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.9","NA"
Andorra,"2007","NA","NA","4.8936170212766","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.8","NA"
Andorra,"2008","NA","NA","4.68085106382979","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.8","NA"
Andorra,"2009","NA","NA","4.8936170212766","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.7","NA"
Andorra,"2010","NA","NA","5.31914893617021","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.7","NA"
Andorra,"2011","NA","NA","5.53191489361702","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.6","NA"
Andorra,"2012","NA","NA","5.1063829787234","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.6","NA"
Andorra,"2013","NA","NA","6.17021276595745","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.5","NA"
Andorra,"2014","NA","NA","NA","NA","NA","NA","NA","100","100","NA","NA","NA","NA","NA","1.5","4.3"
Angola,"2005","NA","NA","2.6469880484479","NA","2.5","NA","NA","39","46","48.5388048780488","NA","NA","NA","NA","56.1","NA"
Angola,"2006","NA","NA","2.6469880484479","NA","3","NA","NA","40.4","46.2","49.0070487804878","NA","NA","NA","NA","55.5","NA"
Angola,"2007","NA","0.476891891891892","2.72719980749178","NA","3","NA","NA","41.8","46.4","49.4357317073171","NA","NA","NA","NA","55","NA"
Angola,"2008","NA","NA","2.72719980749178","NA","3","NA","NA","43.3","46.6","49.8473902439024","NA","NA","NA","NA","54.1","NA"
Angola,"2009","NA","NA","3.20847036175503","NA","3","NA","NA","44.7","46.9","50.2510243902439","NA","NA","NA","NA","53.4","NA"
Angola,"2010","NA","NA","3.28868212079891","NA","3","NA","NA","46.2","47.1","50.6541707317073","NA","NA","NA","NA","52.6","NA"
Angola,"2011","NA","NA","3.76995267506216","NA","2.5","NA","NA","47.6","47.5","51.0593170731707","NA","NA","NA","NA","51.9","NA"
Angola,"2012","NA","NA","3.76995267506216","NA","2.5","NA","NA","49.1","47.8","51.464","NA","NA","NA","NA","51.1","NA"
Angola,"2013","NA","NA","3.93037619314992","NA","2.5","NA","NA","50.6","48.2","51.8661707317073","NA","NA","NA","NA","50.4","NA"
Angola,"2014","NA","0.476891891891892","NA","NA","NA","NA","NA","51.1","48.6","52.2668780487805","NA","NA","NA","NA","49.6","51.4"
Antigua and Barbuda,"2005","NA","NA","9.09090909090909","NA","NA","NA","NA","89.5","97.8","74.4254390243903","NA","NA","NA","NA","7.5","NA"
Antigua and Barbuda,"2006","NA","NA","9.09090909090909","NA","NA","NA","NA","90.4","97.8","74.6181463414634","NA","NA","NA","NA","7.2","NA"
Antigua and Barbuda,"2007","NA","16.1538461538462","9.09090909090909","NA","NA","NA","NA","91.4","97.9","74.8032195121951","NA","NA","NA","NA","6.9","NA"
Antigua and Barbuda,"2008","NA","NA","9.09090909090909","NA","NA","NA","NA","91.4","97.9","74.9791707317073","NA","NA","NA","NA","6.6","NA"
Antigua and Barbuda,"2009","NA","NA","9.09090909090909","NA","NA","NA","NA","91.4","97.9","75.1470243902439","NA","NA","NA","NA","6.3","NA"
Antigua and Barbuda,"2010","NA","NA","9.09090909090909","NA","NA","NA","NA","91.4","97.9","75.3087804878049","NA","NA","NA","NA","6","NA"
Antigua and Barbuda,"2011","NA","NA","9.09090909090909","NA","NA","NA","2.75","91.4","97.9","75.4660243902439","NA","NA","NA","NA","5.8","NA"
Antigua and Barbuda,"2012","NA","22.1153846153846","9.09090909090909","NA","NA","NA","NA","NA","97.9","75.6218048780488","NA","NA","NA","NA","5.5","NA"
Antigua and Barbuda,"2013","NA","NA","9.09090909090909","NA","NA","NA","NA","NA","97.9","75.7786585365854","NA","NA","NA","NA","5.3","NA"
Antigua and Barbuda,"2014","NA","22.1153846153846","NA","NA","NA","NA","NA","NA","97.9","75.9376341463415","NA","NA","NA","NA","5.1","27.2"
Argentina,"2005","NA","NA","12.0209084697207","NA","NA","NA","NA","93.2","97.3","74.6878048780488","NA","NA","NA","NA","9.2","NA"
Argentina,"2006","NA","NA","12.7358232024818","NA","NA","NA","NA","93.5","97.5","74.8499024390244","NA","NA","NA","NA","8.8","NA"
Argentina,"2007","NA","NA","13.3127975766345","NA","NA","NA","NA","93.9","97.7","75.0090487804878","NA","NA","NA","NA","8.5","NA"
Argentina,"2008","NA","NA","12.8845430063325","NA","NA","NA","NA","94.2","97.9","75.1662682926829","NA","NA","NA","NA","8.1","NA"
Argentina,"2009","NA","NA","12.530465635494","NA","NA","NA","NA","94.5","98.1","75.3245609756098","NA","NA","NA","NA","7.8","NA"
Argentina,"2010","NA","NA","13.8784443981598","NA","NA","NA","NA","94.9","98.2","75.4849756097561","NA","NA","NA","NA","7.5","NA"
Argentina,"2011","1.45804250038778","NA","14.1707683369326","NA","NA","NA","3.25","95.2","98.4","75.6490487804878","NA","NA","NA","NA","7.2","NA"
Argentina,"2012","NA","12.9383561643836","14.5263073274649","94.3","NA","17.5","NA","95.5","98.6","75.816243902439","NA","NA","NA","NA","7","NA"
Argentina,"2013","NA","NA","14.5062100566743","NA","NA","NA","NA","95.8","98.8","75.9860975609756","NA","NA","NA","NA","6.8","NA"
Argentina,"2014","NA","12.9383561643836","NA","NA","NA","NA","NA","96.1","98.9","76.1586097560976","NA","NA","NA","NA","6.5","10.7"
Armenia,"2005","NA","NA","15.9817351598174","31.9","3.5","24.9","NA","89.4","95.5","73.2873902439024","NA","NA","NA","NA","12.4","NA"
Armenia,"2006","8.76224094739239","NA","15.9079733052336","NA","3.5","NA","NA","89.5","96.1","73.5482682926829","NA","NA","NA","NA","11.8","NA"
Armenia,"2007","8.82470460642731","41.6678816153958","15.8798735511064","NA","3.5","NA","NA","89.5","96.7","73.7646585365854","NA","NA","NA","NA","11.1","NA"
Armenia,"2008","8.91432495850741","NA","15.8201615735862","NA","3","NA","NA","89.5","97.3","73.945","NA","NA","NA","NA","10.6","NA"
Armenia,"2009","8.9217202084407","NA","15.7850368809273","NA","3","NA","NA","89.5","97.9","74.0958292682927","NA","NA","NA","NA","10","NA"
Armenia,"2010","8.94524495677233","NA","15.7534246575342","56.8","3","33","NA","89.5","98.4","74.2263414634146","NA","NA","NA","NA","9.5","NA"
Armenia,"2011","9.10429303339026","NA","15.7780119423955","NA","3","NA","3","89.5","99","74.3428292682927","NA","NA","NA","NA","9.1","NA"
Armenia,"2012","NA","42.8779705496428","15.7499121882684","NA","3","NA","NA","89.5","99.7","74.4520975609756","NA","NA","NA","NA","8.6","NA"
Armenia,"2013","9.16711253789905","NA","15.7428872497366","NA","3","NA","NA","89.5","99.9","74.5613658536585","NA","NA","NA","NA","8.2","NA"
Armenia,"2014","NA","42.8779705496428","NA","NA","NA","NA","NA","89.5","100","74.6757073170732","NA","NA","NA","NA","7.7","49.7"
Aruba,"2005","NA","NA","11.1111111111111","NA","NA","NA","NA","98","95.8","74.2280731707317","NA","NA","NA","NA","NA","NA"
Aruba,"2006","NA","NA","11.1111111111111","NA","NA","NA","NA","97.9","96.2","74.3761951219512","NA","NA","NA","NA","NA","NA"
Aruba,"2007","NA","NA","11.1111111111111","NA","NA","NA","NA","97.9","96.5","74.526756097561","NA","NA","NA","NA","NA","NA"
Aruba,"2008","NA","NA","11.1111111111111","NA","NA","NA","NA","97.8","96.8","74.6757317073171","NA","NA","NA","NA","NA","NA"
Aruba,"2009","NA","NA","11.1111111111111","NA","NA","NA","NA","97.8","97.1","74.8181463414634","NA","NA","NA","NA","NA","NA"
Aruba,"2010","NA","NA","11.1111111111111","NA","NA","NA","NA","97.7","97.4","74.9535365853659","NA","NA","NA","NA","NA","NA"
Aruba,"2011","NA","NA","11.1111111111111","NA","NA","NA","NA","97.7","97.8","75.0813902439024","NA","NA","NA","NA","NA","NA"
Aruba,"2012","NA","NA","11.1111111111111","NA","NA","NA","NA","97.7","98.1","75.205756097561","NA","NA","NA","NA","NA","NA"
Aruba,"2013","NA","NA","11.1111111111111","NA","NA","NA","NA","97.7","98.1","75.3286585365854","NA","NA","NA","NA","NA","NA"
Aruba,"2014","NA","NA","NA","NA","NA","NA","NA","97.7","98.1","75.4510975609756","NA","NA","NA","NA","NA","NA"
Australia,"2005","0.540268539298078","NA","6.43062624474441","NA","NA","NA","NA","100","100","80.8414634146341","NA","NA","NA","NA","3.3","NA"
Australia,"2006","0.585388285336552","NA","6.21103055074652","NA","NA","NA","NA","100","100","81.0414634146342","NA","NA","NA","NA","3.2","NA"
