"","Country.code","economic","capacity","ecosystems","exposure","food","governance","habitat","health","infrastructure","sensitivity","social","water"
"1","AFG","0.30796954",4.183820645,3.42059276,2.49585201,3.297057515,0.69601321,2.651938925,3.35902385,2.39268999,2.941951785,1.364178765,3.388389635
"2","ALB","0.518164038",2.48336733,2.4781884,2.39239944,2.39671301,2.18789043,2.167239605,0.965775385,1.942077265,2.055338585,1.919913665,2.258065755
"3","DZA","0.394313535",2.526624215,2.63612139,2.26843597,2.99708278,1.660388595,1.59272934,1.353294,0.79660625,1.788337575,1.40765518,3.183177435
"4","AND","",1.64925046,2.86784127,1.92197234,0.60354686,3.825319395,1.145083755,0.46479524,0,3.387085215,3.61286252,2.5
"5","AGO","0.301317153",3.798081695,3.09333423,2.83447721,3.91787133,1.46607472,3.354284995,2.447739355,1.666115625,1.933397165,0.93134494,2.652566605
"6","ATG","0.619561272",2.72634796,3.06697547,2.85402581,4.056899185,3.376219005,2.17881252,1.25246215,3.332440415,2.956605475,2.11318017,1.930201215
"7","ARG","0.478792983",2.03603989,2.945587685,2.34460699,1.831350925,2.018328545,2.194466505,1.16297779,0.96845646,1.25119288,2.305680825,2.16084016
"8","ARM","0.591402818",1.98626212,2.26032124,2.259582295,2.191549805,2.317616065,1.72356973,0.9252396,1.84227033,1.800304625,2.283633525,2.623059085
"9","AUS","0.803114397",1.232020925,1.983958925,2.063998555,1.983695295,4.109341135,1.580084455,0.119228275,0.798456155,0.82171902,3.47031911,0.95659193
"10","AUT","0.722219621",1.69747519,1.066356035,2.2241186,1.549347545,4.084216925,1.50873658,0.156135735,1.6698493,1.11252679,4.054373315,2.43265699
"11","AZE","0.536085405",2.32341036,2.411601535,2.40977794,2.430249095,1.800494855,2.01559627,0.50873482,1.88207566,2.439688175,1.759944795,3.309643255
"12","BHS","0.571041834",2.07850791,1.4604148,2.62793853,2.85475953,3.462346315,2.34121747,0.96236008,3.345314165,3.008825455,1.71199279,2.36339021
"13","BHR","0.654954598",2.031402755,2.105332635,2.960051805,1.5603247,2.723101825,2.21466858,0.878772185,2.44588606,2.556557065,1.62751082,4.166666665
"14","BGD","0.409880117",3.364545275,3.149074435,2.670017525,2.731912425,1.43915732,2.400461745,2.94133318,2.195329435,2.21155953,1.110562135,3.074133445
"15","BRB","0.559819807",1.29344916,2.742304655,2.58961622,2.80909965,3.58053063,1.382263525,1.012122815,1.925704615,3.17467906,2.648581795,2.144157525
"16","BLR","0.506402926",1.67726436,2.109871695,1.99836106,1.046611545,1.810058215,1.93912681,0.24573724,1.550366915,1.69436494,3.603751425,2.480950545
"17","BEL","0.674634793",1.59282619,1.044749925,1.965973665,1.30443464,3.72249522,1.706466435,0.142043615,2.399360455,2.070692015,3.19210487,2.80290179
"18","BLZ","0.499339065",2.199203755,2.65896829,2.514736885,2.78095968,2.28661966,2.47147748,1.3332405,2.15377784,2.27499014,0.97272911,2.423313905
"19","BEN","0.307477327",3.86510606,2.480842335,2.62316431,3.729495495,2.1401635,3.270628015,3.23421906,2.38859752,2.864428975,1.1903346,3.166382515
