"","GDP..PPP..constant.2011.international...","Employment.in.industry....of.total.employment.","Employment.in.agriculture....of.total.employment.","Total.greenhouse.gas.emissions..kt.of.CO2.equivalent.","Renewable.energy.consumption....of.total.final.energy.consumption.","Fossil.fuel.energy.consumption....of.total.","Energy.use..kg.of.oil.equivalent.per.capita.","CO2.emissions..metric.tons.per.capita.","Population..total","ProtectedAreas","CountryNames","Paris_Agreement_Code","Polityxconst","UNmentions"
"1",50764671542.0223,20.300236968148,22.7720953170873,17980.5001304703,20.1219635438391,79.5835537328375,-177.775109124413,0.472094035318194,28832725.6666667,0.46,"Afghanistan",1,4,0
"2",27902941745.8705,16.2244849109548,26.6230019529516,8705.97777009056,37.186789847798,60.8013725756245,726.953196381622,1.66908932171051,2906016,1.91,"Albania",2,7,5
"3",479211839699.17,25.2819410410717,12.3889605403769,172149.789655299,0.209164990919479,99.8647425983857,1159.67936695821,3.35989068669246,36730906,7.46,"Algeria",2,5,7
"5",446468139174.591,19.703757375718,24.8060579923932,145836.566630707,33.8993928560156,62.8117376911107,2307.13227590491,6.09621662264303,82020.3333333333,19.5,"Andorra",1,5.49058719276696,17
"6",143822841607.609,15.5136343532119,34.8860351133133,40855.0696349524,57.3844651322777,40.8976047847677,653.313734092233,1.40811537092418,21949294,4.98,"Angola",1,3,4
"7",1796308925.66701,22.5744079297299,15.904470955011,537.201688696977,33.2786899101852,63.158115099038,2929.65439020658,5.90747666737153,88151.3333333333,0.15,"Antigua and Barbuda",2,6.15952705919686,18
"8",803619494167.907,24.2999998728434,2.23333330949148,372617.572657611,8.89477491513765,89.6398263420939,1911.62063152069,4.57622572024369,41657905,5.37,"Argentina",2,7,2
"9",20375101641.5436,17.2666670481364,38.2666664123535,12043.3883594256,7.98343117211633,72.0946605540364,916.760844968499,1.66397288855613,2969939.66666667,24.75,"Armenia",1,5,1
"11",937058351528.103,20.0999997456868,3.00000007947286,776528.038668219,7.69331770722747,94.8326152773214,5615.2684132065,16.7676468018248,22366676,29.03,"Australia",2,7,18
"12",366989451708.583,25.9666665395101,4.4333332379659,92315.8712764308,32.4359762055299,68.5988430551157,3984.62697903372,7.75705445560868,8395012.66666667,28.35,"Austria",2,7,3
"13",145542166866.375,14.0333334604899,37.933334350586,53748.1613089238,3.61719540063048,97.7572549098357,1373.93366136962,3.61976097545005,9174399.33333333,13.97,"Azerbaijan",1,2,2
"15",52082918727.8755,30.5594943434617,-2.82533940333042,31904.0396700829,-8.15527004890551,99.6051252431051,9666.04511057691,22.4656329884852,1300303.33333333,4.41,"Bahrain",1,1,6
"16",396277418609.157,16.1795884931528,39.9842396869641,180434.489669856,39.62678933446,72.0580755658724,206.678354465858,0.414905143895095,153426592,3.41,"Bangladesh",2,3,44
"17",4315193118.83138,19.7999998728434,2.96666661898295,1495.89598547359,6.41436392772069,86.5534680858665,2534.73576999805,5.3192493765899,280582.666666667,0,"Barbados",2,6.42626310234979,25
