Country,Time,"Adult literacy rate, population 15+ years, both sexes (%)","Adult literacy rate, population 15+ years, female (%)","Adult literacy rate, population 15+ years, male (%)",Barro-Lee: Percentage of female population age 15+ with no education,"Elderly literacy rate, population 65+ years, both sexes (%)","Elderly literacy rate, population 65+ years, male (%)","Elderly literacy rate, population 65+ years, female (%)",Population growth (annual %),"Literacy rate, population 25-64 years, both sexes (%)","Literacy rate, population 25-64 years, female (%)","Literacy rate, population 25-64 years, male (%)","Population, age 0, female","Population, age 0, male","Population, age 0, total",UIS: Mean years of schooling of the population age 25+. Female,UIS: Mean years of schooling of the population age 25+. Male,UIS: Mean years of schooling of the population age 25+. Total,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Female,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Male,UIS: Percentage of population age 25+ with a completed bachelor's or equivalent degree (ISCED 6). Total,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Male,UIS: Percentage of population age 25+ with at least a completed bachelor's or equivalent degree (ISCED 6 or higher). Total,UIS: Percentage of population age 25+ with at least a completed master's degree or equivalent (ISCED 7 or higher). Female,GDP per capita (constant 2005 US$),Government expenditure in educational institutions as % of GDP (%),"Labor force with primary education, female (% of female labor force)","Labor force with primary education, male (% of male labor force)","Labor force with secondary education, female (% of female labor force)","Labor force with secondary education, male (% of male labor force)","Labor force with tertiary education, female (% of female labor force)","Labor force with tertiary education, male (% of male labor force)","Labor force, female (% of total labor force)","Labor force, total","Unemployment, female (% of female labor force)","Unemployment, male (% of male labor force)","Unemployment, total (% of total labor force)"
Australia,1990,,,,1.26,,,,1.479978016,,,,115497,121678,237175,,,,,,,,,,35812.93032,,,,,,,,41.36492228,8502257,,,
Australia,1991,,,,,,,,1.274577578,,,,116165,122399,238564,,,,,,,,,,35225.03906,,,,,,,,41.53935552,8552930,9.199999809,9.899999619,9.600000381
Australia,1992,,,,,,,,1.213390775,,,,119001,125443,244444,,,,,,,,,,34939.05961,,,,,,,,41.76427134,8627063,10,11.39999962,10.80000019
Australia,1993,,,,,,,,0.978336681,,,,122889,129606,252495,,,,,,,,,,36003.66678,,,,,,,,41.82850674,8674510,10.10000038,11.5,10.89999962
Australia,1994,,,,,,,,1.058508842,,,,126163,133084,259247,,,,,,,,,,37063.07598,,,,,,,,42.30326725,8829084,9.300000191,10,9.699999809
Australia,1995,,,,1.55,,,,1.208019812,,,,127658,134622,262280,,,,,,,,,,38038.46873,,36.90000153,33.29999924,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,9048336,8,8.800000191,8.5
Australia,1996,,,,,,,,1.313819299,,,,126978,133785,260763,,,,,,,,,,39024.56625,,,,,,,,42.85307402,9149682,8.199999809,8.699999809,8.5
Australia,1997,,,,,,,,1.11872569,,,,124639,131135,255774,,,,,,,,,,40113.71721,,43.79999924,38.09999847,26.5,38.90000153,29.79999924,22.89999962,42.96508535,9224753,8.199999809,8.699999809,8.5
Australia,1998,,,,,,,,1.042235716,,,,121463,127588,249051,,,,,,,,,,41459.69426,,41.90000153,35.5,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,9325797,7.400000095,7.900000095,7.699999809
Australia,1999,,,,,,,,1.142505187,,,,118683,124505,243188,,,,,,,,,,43041.05497,,,,,,,,43.30511512,9421693,6.699999809,7.099999905,6.900000095
