Country Name,"Time","GHG net emissions/removals by LUCF (Mt of CO2 equivalent)","Total greenhouse gas emissions (kt of CO2 equivalent)"
Afghanistan,"2005","NA","14770.2643"
Afghanistan,"2006","NA","14849.1594"
Afghanistan,"2007","NA","15272.633"
Afghanistan,"2008","NA","15288.7756"
Afghanistan,"2009","NA","15554.4294997907"
Afghanistan,"2010","NA","17791.3299018728"
Afghanistan,"2011","NA","17981.3072867677"
Afghanistan,"2012","NA","18168.8632027705"
Afghanistan,"2013","NA","NA"
Afghanistan,"2014","NA","NA"
Albania,"2005","NA","8308.3856"
Albania,"2006","NA","8027.14955"
Albania,"2007","NA","9879.3935"
Albania,"2008","NA","8136.785"
Albania,"2009","NA","8108.81238694848"
Albania,"2010","NA","8506.99603431525"
Albania,"2011","NA","8712.29636455369"
Albania,"2012","NA","8898.64091140274"
Albania,"2013","NA","NA"
Albania,"2014","NA","NA"
Algeria,"2005","NA","146241.499"
Algeria,"2006","NA","151655.372"
Algeria,"2007","NA","157333.425"
Algeria,"2008","NA","160415.277"
Algeria,"2009","NA","160849.926561587"
Algeria,"2010","NA","167674.633000695"
Algeria,"2011","NA","172303.509195404"
Algeria,"2012","NA","176471.226769797"
Algeria,"2013","NA","NA"
Algeria,"2014","NA","NA"
American Samoa,"2005","NA","52.801179"
American Samoa,"2006","NA","53.30204"
American Samoa,"2007","NA","53.913983"
American Samoa,"2008","NA","54.616323"
American Samoa,"2009","NA","54.9893494063012"
American Samoa,"2010","NA","56.6374866017899"
American Samoa,"2011","NA","57.7435092847854"
American Samoa,"2012","NA","58.7655192902151"
American Samoa,"2013","NA","NA"
American Samoa,"2014","NA","NA"
Andorra,"2005","NA","NA"
Andorra,"2006","NA","NA"
Andorra,"2007","NA","NA"
Andorra,"2008","NA","NA"
Andorra,"2009","NA","NA"
Andorra,"2010","NA","NA"
Andorra,"2011","NA","NA"
Andorra,"2012","NA","NA"
Andorra,"2013","NA","NA"
Andorra,"2014","NA","NA"
Angola,"2005","NA","35855.7384"
Angola,"2006","NA","36375.822"
Angola,"2007","NA","36690.534"
Angola,"2008","NA","37396.294"
Angola,"2009","NA","38309.4651264052"
Angola,"2010","NA","40029.3921005695"
Angola,"2011","NA","40878.6519582578"
Angola,"2012","NA","41657.1648460299"
Angola,"2013","NA","NA"
Angola,"2014","NA","NA"
Antigua and Barbuda,"2005","NA","454.070617"
Antigua and Barbuda,"2006","NA","463.565714"
Antigua and Barbuda,"2007","NA","478.083878"
Antigua and Barbuda,"2008","NA","491.89739"
Antigua and Barbuda,"2009","NA","493.441214713815"
Antigua and Barbuda,"2010","NA","521.051312844337"
Antigua and Barbuda,"2011","NA","537.80583894233"
Antigua and Barbuda,"2012","NA","552.747914304263"
Antigua and Barbuda,"2013","NA","NA"
Antigua and Barbuda,"2014","NA","NA"
Argentina,"2005","NA","358385.64"
Argentina,"2006","NA","373600.56"
Argentina,"2007","NA","384547.75"
Argentina,"2008","NA","411503.63"
Argentina,"2009","NA","373409.065636756"
Argentina,"2010","NA","364684.253845885"
Argentina,"2011","NA","372873.14375805"
Argentina,"2012","NA","380295.320368897"
Argentina,"2013","NA","NA"
Argentina,"2014","NA","NA"
Armenia,"2005","NA","8401.8162"
Armenia,"2006","NA","8743.5088"
Armenia,"2007","NA","9323.71758"
Armenia,"2008","NA","12469.983"
Armenia,"2009","NA","11235.0892664869"
Armenia,"2010","NA","11393.0393525219"
Armenia,"2011","NA","12417.7361164488"
Armenia,"2012","NA","12319.3896093062"
Armenia,"2013","NA","NA"
Armenia,"2014","NA","NA"
Aruba,"2005","NA","286.973571"
Aruba,"2006","NA","307.739311"
Aruba,"2007","NA","343.654819"
Aruba,"2008","NA","365.627213"
Aruba,"2009","NA","366.241353554348"
Aruba,"2010","NA","387.904772272898"
Aruba,"2011","NA","401.203383231042"
Aruba,"2012","NA","413.035551253609"
Aruba,"2013","NA","NA"
Aruba,"2014","NA","NA"
Australia,"2005","44.8364475361057","909262.03"
Australia,"2006","48.2131900634789","1119632.1"
Australia,"2007","342.467534251204","1065623.87"
Australia,"2008","69.4877985865999","892629.27"
Australia,"2009","53.9709139226169","1105167.23617132"
Australia,"2010","NA","782102.692196849"
Australia,"2011","NA","785795.149950158"
Australia,"2012","NA","761686.273857649"
Australia,"2013","NA","NA"
Australia,"2014","NA","NA"
Austria,"2005","-17.6788897706123","97552.85369"
Austria,"2006","-17.6678702107076","95636.729"
Austria,"2007","-17.6133959838819","93276.758"
Austria,"2008","-17.5865078115542","94608.82183"
Austria,"2009","-17.5244679473603","89046.7550242494"
Austria,"2010","NA","94172.3509433563"
Austria,"2011","NA","92315.0525967119"
Austria,"2012","NA","90460.2102892241"
Austria,"2013","NA","NA"
Austria,"2014","NA","NA"
Azerbaijan,"2005","NA","47617.1667"
Azerbaijan,"2006","NA","48492.2848"
Azerbaijan,"2007","NA","45144.106"
Azerbaijan,"2008","NA","53832.8169"
Azerbaijan,"2009","NA","49623.1778669541"
Azerbaijan,"2010","NA","50724.569637349"
Azerbaijan,"2011","NA","53982.832512624"
Azerbaijan,"2012","NA","56537.0817767984"
Azerbaijan,"2013","NA","NA"
Azerbaijan,"2014","NA","NA"
"Bahamas, The","2005","NA","3854.11183"
"Bahamas, The","2006","NA","4014.02012"
"Bahamas, The","2007","NA","4128.8887"
"Bahamas, The","2008","NA","4339.66058"
"Bahamas, The","2009","NA","4335.92690568024"
"Bahamas, The","2010","NA","4570.35755329238"
"Bahamas, The","2011","NA","4726.37931595067"
"Bahamas, The","2012","NA","4865.20676738915"
"Bahamas, The","2013","NA","NA"
"Bahamas, The","2014","NA","NA"
Bahrain,"2005","NA","23432.38192"
Bahrain,"2006","NA","25118.2166"
Bahrain,"2007","NA","26614.11515"
Bahrain,"2008","NA","29223.02527"
Bahrain,"2009","NA","29249.5794618954"
Bahrain,"2010","NA","30921.9708369881"
Bahrain,"2011","NA","31941.0424444878"
Bahrain,"2012","NA","32849.1057287728"
Bahrain,"2013","NA","NA"
Bahrain,"2014","NA","NA"
Bangladesh,"2005","NA","151091.702"
Bangladesh,"2006","NA","155320.504"
Bangladesh,"2007","NA","161041.755"
Bangladesh,"2008","NA","164700.503"
Bangladesh,"2009","NA","169927.913290136"
Bangladesh,"2010","NA","177504.473602208"
Bangladesh,"2011","NA","180498.432989672"
Bangladesh,"2012","NA","183300.562417687"
Bangladesh,"2013","NA","NA"
Bangladesh,"2014","NA","NA"
Barbados,"2005","NA","1310.42268"
Barbados,"2006","NA","1309.94482"
Barbados,"2007","NA","1357.35557"
Barbados,"2008","NA","1370.84117"
Barbados,"2009","NA","1371.76607292313"
Barbados,"2010","NA","1449.42611368458"
Barbados,"2011","NA","1497.6461338935"
Barbados,"2012","NA","1540.61570884268"
Barbados,"2013","NA","NA"
Barbados,"2014","NA","NA"
Belarus,"2005","-26.2099792133783","89989.7232"
Belarus,"2006","-28.4205776787366","94475.092"
Belarus,"2007","-27.5594807799655","95710.8225"
Belarus,"2008","-27.1384557932524","100860.1753"
Belarus,"2009","-30.0435378","101754.791693808"
Belarus,"2010","NA","108204.547178591"
Belarus,"2011","NA","108921.434693533"
Belarus,"2012","NA","109647.238750262"
Belarus,"2013","NA","NA"
Belarus,"2014","NA","NA"
Belgium,"2005","-1.64972616918008","136696.039"
Belgium,"2006","-1.6371335760418","134802.749"
Belgium,"2007","-1.61180995106998","131823.167"
Belgium,"2008","-1.55599469147139","137213.867"
Belgium,"2009","-1.6002542750046","131110.289477906"
Belgium,"2010","NA","138029.410871298"
Belgium,"2011","NA","137517.867915404"
Belgium,"2012","NA","133373.684007061"
Belgium,"2013","NA","NA"
Belgium,"2014","NA","NA"
Belize,"2005","NA","2022.18417"
Belize,"2006","NA","1276.55753"
Belize,"2007","NA","1802.16292"
Belize,"2008","NA","1408.14902"
Belize,"2009","NA","1534.36458313462"
Belize,"2010","NA","1498.87844951416"
Belize,"2011","NA","1536.23743731011"
Belize,"2012","NA","1569.8585030674"
Belize,"2013","NA","NA"
Belize,"2014","NA","NA"
Benin,"2005","NA","48572.5105"
Benin,"2006","NA","36385.6729"
Benin,"2007","NA","39886.08"
Benin,"2008","NA","37639.925"
Benin,"2009","NA","38068.3747296726"
Benin,"2010","NA","33029.8223452635"
Benin,"2011","NA","33289.5519203445"
Benin,"2012","NA","33533.0967333661"
Benin,"2013","NA","NA"
Benin,"2014","NA","NA"
Bermuda,"2005","NA","584.756357"
Bermuda,"2006","NA","600.515297"
Bermuda,"2007","NA","539.779525"
Bermuda,"2008","NA","560.027695"
Bermuda,"2009","NA","561.263745445672"
Bermuda,"2010","NA","594.651571750838"
Bermuda,"2011","NA","614.875651538293"
Bermuda,"2012","NA","632.876992070822"
Bermuda,"2013","NA","NA"
Bermuda,"2014","NA","NA"
Bhutan,"2005","NA","1617.86441"
Bhutan,"2006","NA","1966.3538"
Bhutan,"2007","NA","2326.55307"
Bhutan,"2008","NA","1908.28623"
Bhutan,"2009","NA","2190.92068373641"
Bhutan,"2010","NA","3220.40038033772"
Bhutan,"2011","NA","3259.60738958883"
Bhutan,"2012","NA","3296.96372502552"
Bhutan,"2013","NA","NA"
Bhutan,"2014","NA","NA"
Bolivia,"2005","NA","309458.392"
Bolivia,"2006","NA","164214.818"
Bolivia,"2007","NA","227561.899"
Bolivia,"2008","NA","120003.253"
Bolivia,"2009","NA","76425.9663518695"
Bolivia,"2010","NA","102900.515628915"
Bolivia,"2011","NA","620981.955546628"
Bolivia,"2012","NA","621726.72675282"
Bolivia,"2013","NA","NA"
Bolivia,"2014","NA","NA"
Bosnia and Herzegovina,"2005","NA","20780.3563"
Bosnia and Herzegovina,"2006","NA","22772.2341"
Bosnia and Herzegovina,"2007","NA","24673.0881"
Bosnia and Herzegovina,"2008","NA","24236.6085"
Bosnia and Herzegovina,"2009","NA","24471.8965485269"
Bosnia and Herzegovina,"2010","NA","25619.3313185136"
Bosnia and Herzegovina,"2011","NA","26405.844115572"
Bosnia and Herzegovina,"2012","NA","27108.4002030228"
Bosnia and Herzegovina,"2013","NA","NA"
Bosnia and Herzegovina,"2014","NA","NA"
Botswana,"2005","NA","24188.461"
Botswana,"2006","NA","43484.6626"
Botswana,"2007","NA","26082.8828"
Botswana,"2008","NA","73051.1312"
Botswana,"2009","NA","22941.9658476252"
Botswana,"2010","NA","81652.255603953"
Botswana,"2011","NA","81891.0361459063"
Botswana,"2012","NA","82110.2767551773"
Botswana,"2013","NA","NA"
Botswana,"2014","NA","NA"
Brazil,"2005","1329.05","2386439.68"
Brazil,"2006","NA","1621079.23"
Brazil,"2007","NA","2703498.56"
Brazil,"2008","NA","1532859.83"
Brazil,"2009","NA","1211969.40849959"
Brazil,"2010","NA","2902242.61816138"
Brazil,"2011","NA","2953040.51916222"
Brazil,"2012","NA","2989417.95671697"
Brazil,"2013","NA","NA"
Brazil,"2014","NA","NA"
British Virgin Islands,"2005","NA","94.077216"
British Virgin Islands,"2006","NA","96.799727"
