"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,28.7889549044638,52.29999924,32.9549189208133,75.5496133829241,69.08850904,9.9627701691974,88.40000153,6.1,1.479978016,237175,35812.93032,0.379308256898189,29.2782250632088,29.7509545462983,34.5718021665334,29.004093832326,41.36492228,8.88801305457573,6.81556196304354,7.11544794552788
"2",1991,19.7887495416678,52,41.3405651867427,79.8736578160618,69.51871374,11.8607590284782,87.5,14.9554036569667,1.274577578,238564,35225.03906,2.7907407257128,40.9829599173365,46.8491016307928,35.0116065948942,31.8411540797014,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,29.1552463832878,52,28.1956432496545,72.5081654448097,69.98653818,11.2886752480148,87.30000305,8.46863695411877,1.213390775,244444,34939.05961,6.55163126422148,45.2425686884004,49.7141090225211,39.8122210117671,28.4775975148583,41.76427134,10,11.39999962,10.80000019
"4",1993,34.8479464407571,51.79999924,25.9970969538746,74.8417124160755,70.18969796,10.2785300205113,87.09999847,20.5096346327962,0.978336681,252495,36003.66678,8.24184654270812,39.4305328327543,38.1476450505061,25.0129197406735,21.4702834089622,41.82850674,10.10000038,11.5,10.89999962
"5",1994,26.5590796743412,52.70000076,37.4385994638272,82.3201443606376,71.40921217,9.23410813035185,87.59999847,23.9266830911426,1.058508842,259247,37063.07598,3.67074920328563,43.1496451252306,42.697563928627,28.1463232163022,22.2780417301607,42.30326725,9.300000191,10,9.699999809
"6",1995,26.1355118422208,53.79999924,35.2130256149786,65.8111193514785,72.70270167,11.1119802986819,88,11.75121592972,1.208019812,262280,38038.46873,3.8243242940423,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,24.2402866017792,53.79999924,23.1568354349943,68.0546158364479,72.99864514,6.99420676598889,88.19999695,36.3146458180229,1.313819299,260763,39024.56625,8.56982037251042,35.812946539256,34.9020844640759,33.8323411846042,32.2505482812517,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,42.9496004141059,86.0629743309693,73.36065984,10.4690619237261,87.90000153,15.5,1.11872569,255774,40113.71721,7.63675240511388,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,30.3743681891859,82.4842521794806,73.79972306,8.65146496641468,88.59999847,15.5,1.042235716,249051,41459.69426,5.70733727157797,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,29.111175838618,77.1314311372511,74.34482969,7.07415910401882,89,22.4,1.142505187,243188,43041.05497,4.37214960673587,54.9514871535588,53.1119052135097,31.0684849744552,28.1877268994141,43.30511512,6.699999809,7.099999905,6.900000095
