Country Name,"Year","Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)","Cause of death, by non-communicable diseases (% of total)","Health expenditure per capita (current US$)","Health expenditure, public (% of government expenditure)","Risk of catastrophic expenditure for surgical care (% of people at risk)","Immunization, BCG (% of one-year-old children)","Diarrhea treatment (% of children under 5 who received ORS packet)","Tuberculosis death rate (per 100,000 people)","ARI treatment (% of children under 5 taken to a health provider)"
Afghanistan,"2005","NA","NA","21.89580296","5.49062004","NA","57","NA","45","NA"
Afghanistan,"2006","NA","NA","22.18140928","6.29710557","NA","60","NA","43","NA"
Afghanistan,"2007","NA","NA","26.98894729","2.94919278","NA","60","NA","41","NA"
Afghanistan,"2008","NA","NA","33.80518937","6.92608989","NA","66","NA","40","NA"
Afghanistan,"2009","NA","NA","43.52543981","12.7289712","NA","64","NA","39","NA"
Afghanistan,"2010","NA","NA","52.8857608","14.40415287","NA","68","NA","39","NA"
Afghanistan,"2011","NA","NA","52.38254929","10.17410763","NA","71","53.3","40","60.5"
Afghanistan,"2012","46","36.6","58.16803071","11.668976","NA","78","NA","40","NA"
Afghanistan,"2013","NA","NA","53.36597308","10.591285","NA","78","NA","42","NA"
Afghanistan,"2014","NA","NA","56.57452735","11.99862788","92.8","86","NA","44","NA"
Albania,"2005","NA","NA","166.22792891","9.66766224","NA","98","51.8","0.55","45"
Albania,"2006","NA","NA","175.46111256","9.04057427","NA","97","NA","0.45","NA"
Albania,"2007","NA","NA","216.94308134","8.88017452","NA","98","NA","0.36","NA"
Albania,"2008","NA","NA","254.735035","8.36560747","NA","99","NA","0.35","NA"
Albania,"2009","NA","NA","238.07097947","8.46326188","NA","97","54.3","0.46","69.6"
Albania,"2010","NA","NA","219.27385748","8.46326188","NA","99","NA","0.41","NA"
Albania,"2011","NA","NA","255.2555999","9.85079071","NA","97","NA","0.36","NA"
Albania,"2012","5.1","89.5","239.51286789","9.71053128","NA","96","NA","0.28","NA"
Albania,"2013","NA","NA","253.3418956","9.76242119","NA","99","NA","0.57","NA"
Albania,"2014","NA","NA","272.20429151","9.36900452","26.5","99","NA","0.58","NA"
Algeria,"2005","NA","NA","100.35610741","8.19110067","NA","98","NA","14","NA"
Algeria,"2006","NA","NA","116.33972015","7.80450045","NA","99","18.5","14","53"
Algeria,"2007","NA","NA","150.54703923","8.14056074","NA","99","NA","14","NA"
Algeria,"2008","NA","NA","206.40840341","8.07079154","NA","99","NA","14","NA"
Algeria,"2009","NA","NA","207.72120828","9.00945409","NA","99","NA","14","NA"
Algeria,"2010","NA","NA","228.91595202","9.64613475","NA","99","NA","13","NA"
Algeria,"2011","NA","NA","286.968847","9.3656612","NA","99","NA","13","NA"
Algeria,"2012","14.5","77.3","335.26909118","9.98819159","NA","99","33.5","12","76.2"
Algeria,"2013","NA","NA","345.65370409","9.94780509","NA","99","25.3","12","66.4"
Algeria,"2014","NA","NA","361.7291743","9.90462275","17.2","99","NA","11","NA"
Andorra,"2005","NA","NA","2089.66776214","19.49576618","NA","NA","NA","0.97","NA"
Andorra,"2006","NA","NA","2256.10300159","19.38069555","NA","NA","NA","0.9","NA"
Andorra,"2007","NA","NA","2997.57274716","22.84986475","NA","NA","NA","0.83","NA"
Andorra,"2008","NA","NA","3081.87021953","24.03934868","NA","NA","NA","0.78","NA"
Andorra,"2009","NA","NA","2897.93204128","25.09789318","NA","NA","NA","0.74","NA"
Andorra,"2010","NA","NA","3173.99169088","24.04150838","NA","NA","NA","0.72","NA"
Andorra,"2011","NA","NA","2794.50281318","19.30886114","NA","NA","NA","0.71","NA"
Andorra,"2012","NA","NA","2993.7301066","18.88417767","NA","NA","NA","0.71","NA"
Andorra,"2013","NA","NA","4914.39117816","22.32499002","NA","NA","NA","0.73","NA"
Andorra,"2014","NA","NA","3746.33415672","27.91529512","4.3","NA","NA","0.76","NA"
Angola,"2005","NA","NA","64.68519176","6.08001916","NA","61","NA","54","NA"
Angola,"2006","NA","NA","102.37922537","9.56466881","NA","65","NA","55","NA"
Angola,"2007","NA","NA","106.60251904","6.4167073","NA","88","NA","55","NA"
Angola,"2008","NA","NA","163.11605053","6.46450754","NA","87","NA","55","NA"
Angola,"2009","NA","NA","160.83547792","6.35844866","NA","83","NA","55","NA"
Angola,"2010","NA","NA","131.79621085","5.43233059","NA","93","NA","55","NA"
Angola,"2011","NA","NA","160.36072269","5.58480061","NA","88","NA","54","NA"
Angola,"2012","66.4","24.1","168.02721742","5.57303128","NA","87","NA","54","NA"
Angola,"2013","NA","NA","225.73659246","7.42322054","NA","85","NA","53","NA"
Angola,"2014","NA","NA","179.35785371","5.0042944","51.4","81","NA","52","NA"
Antigua and Barbuda,"2005","NA","NA","532.73416909","12.08302914","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2006","NA","NA","590.23941594","10.07190438","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2007","NA","NA","652.2483176","10.80805582","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2008","NA","NA","740.68854173","12.26851746","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2009","NA","NA","679.68040921","11.38425212","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2010","NA","NA","732.68117568","16.35557274","NA","NA","NA","1.5","NA"
Antigua and Barbuda,"2011","NA","NA","724.01950759","15.17565915","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2012","NA","NA","728.48132414","17.15825866","NA","NA","NA","1.4","NA"
Antigua and Barbuda,"2013","NA","NA","711.43035589","16.28771257","NA","NA","NA","3.6","NA"
Antigua and Barbuda,"2014","NA","NA","773.71224648","18.0845175","27.2","NA","NA","3.8","NA"
Argentina,"2005","NA","NA","389.81827568","16.67158723","NA","99","NA","1.9","NA"
Argentina,"2006","NA","NA","447.1689734","16.35093116","NA","99","NA","1.8","NA"
Argentina,"2007","NA","NA","539.23777278","15.36736969","NA","99","NA","1.8","NA"
Argentina,"2008","NA","NA","673.84210464","15.79489415","NA","99","NA","1.6","NA"
Argentina,"2009","NA","NA","711.95419553","17.12723141","NA","99","NA","1.6","NA"
Argentina,"2010","NA","NA","738.48082303","14.07339845","NA","99","NA","1.3","NA"
Argentina,"2011","NA","NA","795.75029309","11.81500096","NA","99","NA","1.6","NA"
Argentina,"2012","11.3","81.4","726.79434807","8.7412893","NA","99","17.5","1.4","94.3"
Argentina,"2013","NA","NA","731.4512884","7.72304601","NA","99","NA","1.4","NA"
Argentina,"2014","NA","NA","605.1878448","6.91697394","10.7","99","NA","1.4","NA"
Armenia,"2005","NA","NA","86.10079034","10.23427085","NA","94","24.9","8.5","31.9"
Armenia,"2006","NA","NA","98.22416727","11.33176388","NA","91","NA","8.7","NA"
Armenia,"2007","NA","NA","134.06043976","10.41632671","NA","94","NA","8.7","NA"
