"","Time","female.leaders","female.labor.partic.rate","female.part.time.of.female","female.part.time.of.total.part","female.male.labor.partic.rate","female.vul.employ","female.paid.employ","female.parliament.seat","pop.growth","new.born","GDP.pc","gov.educational.expend","female.2edu.labor","male.2edu.labor","female.3edu.labor","male.3edu.labor","female.labor.of.total","female.unemploy","male.unemploy","total.unemploy"
"1",1990,32.4442501890614,52.29999924,16.4641377902899,75.7542300322781,69.08850904,9.36493037072978,88.40000153,6.1,1.479978016,237175,35812.93032,4.5955665444474,49.6670914990772,49.8175590772675,21.3081026276045,20.8122594362401,41.36492228,12.0058751772523,8.83957519351995,10.2181296113175
"2",1991,29.0600292990367,52,26.7746435364503,69.4483485034371,69.51871374,9.85723635182199,87.5,25.3744393747812,1.274577578,238564,35225.03906,6.95826422030941,53.3309888781425,54.0000313867696,18.3886077766039,14.448789880929,41.53935552,9.199999809,9.899999619,9.600000381
"3",1992,30.62433155107,52,39.9373846928286,79.695045172598,69.98653818,9.62701439769466,87.30000305,32.7074527501084,1.213390775,244444,34939.05961,6.04831716088247,23.9705385816915,26.6999731870721,42.5479008406747,27.6057058729569,41.76427134,10,11.39999962,10.80000019
"4",1993,36.4136272144691,51.79999924,27.4461064302741,73.6071939582464,70.18969796,10.5843799599643,87.09999847,20.9999302595321,0.978336681,252495,36003.66678,6.67164931798647,29.4402930573917,34.7419361554927,33.8203001154921,31.1815383928002,41.82850674,10.10000038,11.5,10.89999962
"5",1994,28.639066749116,52.70000076,41.944005920946,82.6741340333565,71.40921217,8.54475803942838,87.59999847,13.7041364338562,1.058508842,259247,37063.07598,7.42459679088496,32.7401521978677,39.9007477849207,31.5086688606604,34.3134523840014,42.30326725,9.300000191,10,9.699999809
"6",1995,18.173975657651,53.79999924,49.0321051594234,71.6544216258415,72.70270167,12.2615816227204,88,11.1697038852075,1.208019812,262280,38038.46873,2.13456862235096,17.70000076,15.89999962,45.40000153,50.79999924,42.71923589,8,8.800000191,8.5
"7",1996,34.2633002355476,53.79999924,23.5084571585149,81.572157124661,72.99864514,10.2266569902937,88.19999695,17.1819206376311,1.313819299,260763,39024.56625,2.86305822900707,53.8451706674902,48.9013036880665,16.3355127194845,12.200404906278,42.85307402,8.199999809,8.699999809,8.5
"8",1997,31.51304633,53.70000076,46.2233901058275,78.7412577439375,73.36065984,11.2072374724234,87.90000153,15.5,1.11872569,255774,40113.71721,5.4451168827388,26.5,38.90000153,29.79999924,22.89999962,42.96508535,8.199999809,8.699999809,8.5
"9",1998,31.36402376,53.79999924,33.0834604302641,73.6912036089071,73.79972306,13.2021394723511,88.59999847,15.5,1.042235716,249051,41459.69426,2.95619340267845,28.20000076,41.29999924,29.89999962,23.20000076,43.09842901,7.400000095,7.900000095,7.699999809
"10",1999,31.30753159,53.90000153,34.1626717164109,73.74743132171,74.34482969,7.96550709025448,89,22.4,1.142505187,243188,43041.05497,4.92143307230347,45.4682912678258,44.0291130742833,24.2899063951636,25.3470633619644,43.30511512,6.699999809,7.099999905,6.900000095
"11",2000,32.92588066,54.70000076,51.1573329012937,79.1065164376588,75.55248565,10.32374488317,89.30000305,23,1.192272323,240023,44176.31173,4.133999825,37.5,47.40000153,31.70000076,24.39999962,43.66754568,6.099999905,6.5,6.300000191
"12",2001,32.13602498,55.09999847,38.90000153,72.69999695,76.52777566,11.453951027845,89.80000305,30.4124483882206,1.348358342,240130,44425.57111,3.19721402797727,27.60000038,41.5,33.5,25.5,43.89988122,6.5,7,6.800000191
"13",2002,32.42965014,55.29999924,38.90000153,72.30000305,76.91237561,8.21542111890713,89.59999847,25.3,1.220563785,242809,45579.19408,6.03047457659331,28.39999962,41.20000076,35.09999847,27.70000076,44.05156669,6.199999809,6.599999905,6.400000095
"14",2003,33.02969064,55.90000153,39.20000076,72.40000153,78.07262949,7.12911583613442,90,25.3,1.233996663,247107,46402.68426,5.03272666344096,30.29999924,41.59999847,34.40000153,28,44.45435547,5.900000095,5.900000095,5.900000095
"15",2004,34.08010898,55.70000076,38.20000076,72,77.79329881,8.58099935999664,90.19999695,24.7,1.159352162,251543,47771.04777,5.12524536977436,29.29999924,41.5,37.29999924,29,44.35353145,5.5,5.300000191,5.400000095
"16",2005,35.04590479,57,38.59999847,72.40000153,78.94737176,9.62517043206948,90.19999695,24.7,1.319789554,255043,48656.47502,4.165269852,29.79999924,40.09999847,37.70000076,30.10000038,44.66263689,5.199999809,4.900000095,5
"17",2006,35.12024619,57.59999847,38.09999847,72,79.66804432,8.74740852360063,90.69999695,24.7,1.475227945,257348,49374.05554,4.053100109,29.60000038,41.20000076,39.79999924,30.39999962,44.81490939,4.900000095,4.699999809,4.800000191
"18",2007,35.34231315,58.20000076,37.59999847,71.5,80.05502504,8.61938381690258,91.09999847,26.7,0.624678435,258827,50910.3423,3.950299978,33.70000076,43.5,36.79999924,29.29999924,44.8886339,4.800000191,4.099999905,4.400000095
"19",2008,36.72108074,58.70000076,37.59999847,71.69999695,80.6318658,6.59254700870747,91.09999847,26.7,2.00402174,259771,51749.89514,4.081319809,33.5,43.29999924,38.5,29.89999962,45.0202327,4.5,3.900000095,4.199999809
"20",2009,37.261045963788,58.79999924,38.09999847,70.80000305,81.21546685,7.68958352976032,91.19999695,27.3,2.06104513,260669,51616.69451,4.481470108,38.5384296960404,38.7145041123438,44.9149751196803,35.286535742614,45.12547212,5.400000095,5.800000191,5.599999905
"21",2010,29.6533002754279,58.79999924,38.5,70.40000153,81.10344722,8.64432273570512,91,24.7,1.555489589,261882,51845.65486,4.909699917,32.4552552522577,34.7749669730411,43.2319234335879,43.4103094850112,45.09683886,5.300000191,5.099999905,5.199999809
